a1,a2,a3,a4,a5,a6,a7,a8
22-Jun-2020,0.00138833227625463,0.00169755075019245,0.00188363460262585,0.00258098778288441,0.00410618656922573,0.00603476684277059,0.00576494290105083
19-Jun-2020,0.00140249886913418,0.00171336321405721,0.00190864715289701,0.00260100698376328,0.00410950178271768,0.00612208220707465,0.00581074286192869
18-Jun-2020,0.00140499881784951,0.00172573240889218,0.00187610920274623,0.00259851530209676,0.00410449000842377,0.0061145278891705,0.00580037276975499
17-Jun-2020,0.00135416546190026,0.00166009154688161,0.00182944421719983,0.00251840517196493,0.00402377924031696,0.00597678072794058,0.00570848564615067
16-Jun-2020,0.0013799985793863,0.00169908540824278,0.00183859410370275,0.00252923014941128,0.00407482681088605,0.00600200819737083,0.00568973138072414
15-Jun-2020,0.0014366651439627,0.0017722053129669,0.00194364416429549,0.00265440706364334,0.00419025600378452,0.00623801586609165,0.00585522488782762
12-Jun-2020,0.00143083190486312,0.00177130610363996,0.00197868265332278,0.0027228923819824,0.00428236397657322,0.00627752451797051,0.0058987835532288
11-Jun-2020,0.0014191651660218,0.00174812444211009,0.00198787310834248,0.00276383980763409,0.0043498093741286,0.0063319342668414,0.0059070748484613
10-Jun-2020,0.00140083227522687,0.00171498609923837,0.00190030554928281,0.00263192100758687,0.00417567304218943,0.00610894634391973,0.00571306059150893
09-Jun-2020,0.00139416547534793,0.00170502900742038,0.00187695565390822,0.00258349454107195,0.00407773027857045,0.00600910673441379,0.00560540514996445
08-Jun-2020,0.0013099988530951,0.00159782847497214,0.00178611058707509,0.0024575051464701,0.00395648439722874,0.00588851086851011,0.00556776839050388
05-Jun-2020,0.00150999877290525,0.00185541395793723,0.00204034291857109,0.00278209459756902,0.00436896992164181,0.00663738280120912,0.00602695793096643
04-Jun-2020,0.00155583207652833,0.00191605564239099,0.00212872512050049,0.00289310512662658,0.00456656100257554,0.00674123439654704,0.00609840118834486
03-Jun-2020,0.00155249877543373,0.00191765687307251,0.00212956044134155,0.00286302396181705,0.0045020280712949,0.00669135393005458,0.0059734047416062
02-Jun-2020,0.00157749878846116,0.00196733356737149,0.0022021083885117,0.00295819122920705,0.00463976152947205,0.00683849391527071,0.00608702965779177
01-Jun-2020,0.00158583214705969,0.00197895765136434,0.00223213366176304,0.00302334067591242,0.0046602425873261,0.00695381014287324,0.00614646201657971
29-May-2020,0.00158333221674666,0.00197481193663808,0.00223046812871296,0.00302585223982678,0.0046950344013444,0.00689032565276222,0.00609543988121712
28-May-2020,0.00148583219378909,0.00184275940384791,0.00211877781989586,0.0029199220153203,0.00459638641211402,0.00676580525796444,0.0059952518323457
27-May-2020,0.00150499887073079,0.00187344206905005,0.00212543016927013,0.00291822191618016,0.00459383777316224,0.00672047962797964,0.00596609809951079
26-May-2020,0.00157916546825554,0.0019673548343788,0.00225800538077218,0.00320218114913815,0.00435468607422305,0.00647344604351676,0.00595899673388929
25-May-2020,0.00159416572465435,0.00198400139967417,0.00227717987483299,0.0032322393447647,0.00439737175403198,0.00651851596258753,0.00599339179020342
22-May-2020,0.00156583232957701,0.00195237545348134,0.00225217830342774,0.00319718441670904,0.00437147040657889,0.00646035786745498,0.00594510771603085
21-May-2020,0.00158499901099417,0.00197647876541251,0.00228219332553545,0.00323809731356204,0.00442964089938861,0.00652905513215924,0.00598897751103462
20-May-2020,0.00159499899794483,0.00198812454243735,0.00229636693238471,0.00325562811602995,0.00445851860141349,0.00656108384441029,0.00601248311413083
19-May-2020,0.00152499886890937,0.00190166858076183,0.00219298457299192,0.00311703959834623,0.00425514032719375,0.00632593322229831,0.00584971811041574
18-May-2020,0.0015566654801351,0.00195636742002635,0.00230140555993956,0.00325064821713842,0.00440074233068563,0.00656040887759205,0.0060389366600523
15-May-2020,0.0015741656226663,0.00197880421971765,0.00232808601065407,0.0032840403456083,0.00445471571689083,0.00662187981468646,0.00607771112385224
14-May-2020,0.00154583232223663,0.00194059841131562,0.00228639985227328,0.0032289385171253,0.00437143126844225,0.00652067558627924,0.00601197680215947
13-May-2020,0.00157833229803507,0.00198297123722784,0.00233392254054969,0.00329406209188658,0.00446768775723638,0.00663112380188427,0.00608693042260036
12-May-2020,0.00160333223744787,0.0020145536359558,0.00237227650336454,0.00334248473674377,0.00454386114682267,0.00671755659018333,0.0061442509487165
11-May-2020,0.00180083224308935,0.00226800568998246,0.00266827158607615,0.00375669014043215,0.00512918852228873,0.00737597031263283,0.00658545813585749
08-May-2020,0.00180416569052368,0.00227298468487704,0.0026574185984529,0.00378596217017956,0.00509687850335722,0.00737935699170832,0.0065491292429723
07-May-2020,0.0018041658601804,0.00227134002212316,0.00267160569628463,0.00378762204520106,0.00507252860154442,0.00734291105464686,0.00652259388668333
06-May-2020,0.00177999919488553,0.0022405895426127,0.00263575159257245,0.00373835221680513,0.00500345664532815,0.00726576180112622,0.00647324373468305
05-May-2020,0.00178249914849129,0.00224308959794395,0.00263992130024168,0.00373918357003835,0.00500806721363643,0.00727506935231469,0.00647827598599038
04-May-2020,0.00178083265656496,0.00223977765502347,0.00263575136453764,0.00373584533682513,0.00500472122157396,0.00669978336465426,0.0071283534347297
01-May-2020,0.00178999937689807,0.00225059036728162,0.00264909240069009,0.0037575648808466,0.00503235817643664,0.00672883720087084,0.00715107732793783
