Date,Savings
8/31/1977,216.4
7/31/1977,214.7
6/30/1977,213.3
5/31/1977,212.6
4/30/1977,211.9
3/31/1977,210.4
2/28/1977,208.2
1/31/1977,206.8
12/31/1976,203
11/30/1976,199.1
10/31/1976,194
9/30/1976,190.1
8/31/1976,187
7/31/1976,183.7
6/30/1976,181.6
5/31/1976,181.1
4/30/1976,179
3/31/1976,175.7
2/29/1976,171.4
1/31/1976,166.6
12/31/1975,162.1
11/30/1975,159.4
10/31/1975,157.2
9/30/1975,156.1
8/31/1975,153.9
7/31/1975,152.8
6/30/1975,151
5/31/1975,146.7
4/30/1975,144.5
3/31/1975,142
2/28/1975,139.2
1/31/1975,138.4
